cheese,company,city,price,milk,country,origin,classification,texture,color,flavor,vegetarian,price_bins
crescenza,mozzarella company,dallas area,9.39,cow,italy,italian,other classes,creamy,white,sweet,yes,$5-10
smoked scamorza,mozzarella company,dallas area,15.59,cow,italy,pasta filata,semi soft,other textures,white,smokey,no,$15-20
smoked mozzarella,mozzarella company,dallas area,10.79,cow,italy,mozzarella,semi soft,other textures,white,smokey,yes,$10-15
queso oaxaca,mozzarella company,dallas area,11.99,cow,mexico,pasta filata,semi hard,other textures,white,buttery,yes,$10-15
queso fresco,mozzarella company,dallas area,10.79,cow,mexico,cottage,other classes,other textures,white,milky,yes,$10-15
queso blanco,mozzarella company,dallas area,10.79,cow,mexico,cottage,other classes,other textures,white,milky,yes,$10-15
queso blanco with chiles and epazote,mozzarella company,dallas area,12.69,cow,mexico,cottage,other classes,other textures,white,spicy,yes,$10-15
fresh cream cheese,mozzarella company,dallas area,7.29,cow,united states,cream cheese,other classes,creamy,white,sweet,yes,$5-10
feta,mozzarella company,dallas area,9.49,cow,greece,feta,other classes,other textures,white,tangy,no,$5-10
deep ellum blue,mozzarella company,dallas area,10.79,cow,united states,blue,semi soft,creamy,other colors,tangy,no,$10-15
creme fraiche,mozzarella company,dallas area,7.59,cow,france,cultured,other classes,creamy,white,tangy,no,$5-10
cella,mozzarella company,dallas area,9.39,other milk,united states,mozzarella,semi soft,creamy,yellow,tangy,yes,$5-10
ricotta,mozzarella company,dallas area,5.69,cow,italy,cottage,other classes,creamy,white,sweet,no,$5-10
capriella,mozzarella company,dallas area,10.69,cow,united states,mozzarella,semi soft,other textures,white,milky,yes,$10-15
caciocavallo,mozzarella company,dallas area,18.19,cow,italy,pasta filata,semi soft,other textures,yellow,tangy,no,$15-20
burrata con crema,mozzarella company,dallas area,11.39,cow,other country,mozzarella,semi soft,creamy,white,buttery,no,$10-15
burrata of mozzarella,mozzarella company,dallas area,11.39,cow,italy,mozzarella,semi soft,creamy,white,milky,no,$10-15
triple creme cheese,mozzarella company,dallas area,10.49,cow,united states,cream cheese,other classes,creamy,white,sweet,yes,$10-15
baby caciotta,mozzarella company,dallas area,28.19,cow,united states,monterey jack,semi soft,creamy,cream,tangy,no,$20-30
caciotta,mozzarella company,dallas area,9.39,cow,united states,monterey jack,semi soft,creamy,cream,tangy,no,$5-10
mascarpone torta,mozzarella company,dallas area,13.49,cow,italy,mozzarella,semi soft,creamy,cream,sweet,yes,$10-15
mascarpone,mozzarella company,dallas area,11.39,cow,italy,mozzarella,semi soft,creamy,white,milky,yes,$10-15
bocconcini,mozzarella company,dallas area,22.59,cow,italy,mozzarella,semi soft,other textures,white,buttery,no,$20-30
scamorza,mozzarella company,dallas area,15.59,cow,italy,pasta filata,semi soft,other textures,white,sweet,yes,$15-20
queso menonina (menonita),mozzarella company,dallas area,9.69,cow,mexico,cheddar,semi soft,other textures,pale yellow,sharp,yes,$5-10
dolce habenero,mozzarella company,dallas area,11.29,cow,mexico,pasta filata,soft,creamy,yellow,spicy,yes,$10-15
biervesa,mozzarella company,dallas area,11.99,cow,united states,cheddar,semi soft,creamy,white,fruity,no,$10-15
burrata stracciatella,mozzarella company,dallas area,11.99,cow,italy,mozzarella,semi soft,creamy,white,milky,no,$10-15
