cheese,company,city,price,milk,country,origin,classification,texture,color,flavor,vegetarian
crescenza,mozzarella company,dallas,9.39,cow,italy,italian,fresh soft,creamy,white,sweet,yes
smoked scamorza,mozzarella company,dallas,15.59,cow,italy,pasta filata,semi soft,firm,white,smokey,no
smoked mozzarella,mozzarella company,dallas,10.79,cow,italy,mozzarella,semi soft,bouncy,white,smokey,yes
queso oaxaca,mozzarella company,dallas,11.99,cow,mexico,pasta filata,semi hard,bouncy,white,buttery,yes
queso fresco,mozzarella company,dallas,10.79,cow,mexico,cottage,fresh soft,crumbly,white,milky,yes
queso blanco,mozzarella company,dallas,10.79,cow,mexico,cottage,fresh soft,crumbly,white,milky,yes
queso blanco with chiles and epazote,mozzarella company,dallas,12.69,cow,mexico,cottage,fresh soft,crumbly,white,spicy,yes
fresh cream cheese,mozzarella company,dallas,7.29,cow,united states,cream cheese,fresh soft,creamy,white,sweet,yes
feta,mozzarella company,dallas,9.49,cow,greece,feta,soft brined,crumbly,white,tangy,no
deep ellum blue,mozzarella company,dallas,10.79,cow,united states,blue,semi soft,creamy,blue,tangy,no
creme fraiche,mozzarella company,dallas,7.59,cow,france,cultured,fresh soft,creamy,white,tangy,no
cella,mozzarella company,dallas,9.39,cow/goat,united states,mozzarella,semi soft,creamy,yellow,tangy,yes
ricotta,mozzarella company,"dallas,",5.69,cow,italy,cottage,fresh firm,creamy,white,sweet,no
capriella,mozzarella company,dallas ,10.69,cow,united states,mozzarella,semi soft,bouncy,white,milky,yes
caciocavallo,mozzarella company,dallas ,18.19,cow,italy,pasta filata,semi soft,bouncy,yellow,tangy,no
burrata con crema,mozzarella company,dallas ,11.39,cow,italy/france,mozzarella,semi soft,creamy,white,buttery,no
burrata of mozzarella,mozzarella company,dallas ,11.39,cow,italy,mozzarella,semi soft,creamy,white,milky,no
triple creme cheese,mozzarella company,dallas ,10.49,cow,united states,cream cheese,fresh soft,creamy,white,sweet,yes
baby caciotta,mozzarella company,dallas ,28.19,cow,united states,monterey jack,semi soft,creamy,cream,tangy,no
caciotta,mozzarella company,dallas ,9.39,cow,united states,monterey jack,semi soft,creamy,cream,tangy,no
mascarpone torta,mozzarella company,dallas ,13.49,cow,italy,mozzarella,semi soft,creamy,cream,sweet,yes
mascarpone,mozzarella company,dallas ,11.39,cow,italy,mozzarella,semi soft,creamy,white,milky,yes
bocconcini,mozzarella company,dallas ,22.59,cow,italy,mozzarella,semi soft,bouncy,white,buttery,no
scamorza,mozzarella company,dallas ,15.59,cow,italy,pasta filata,semi soft,firm,white,sweet,yes
queso menonina (menonita),mozzarella company,dallas ,9.69,cow,mexico,cheddar,semi soft,firm,pale yellow,sharp,yes
dolce habenero,mozzarella company,dallas ,11.29,cow,mexico,pasta filata,soft,creamy,yellow,spicy,yes
biervesa,mozzarella company,dallas ,11.99,cow,united states,cheddar,semi soft,creamy,white,fruity,no
burrata stracciatella,mozzarella company,dallas ,11.99,cow,italy,mozzarella,semi soft,creamy,white,milky,no
bosque blue,veldhuzen cheese,dublin ,11.5,cow/sheep,united states,blue,semi soft,creamy,pale yellow,tangy,no
caraway cheddar,veldhuzen cheese,dublin ,10.5,cow/sheep,england,cheddar,semi hard,compact,pale yellow,sharp,no
hatch green chili havarti,veldhuzen cheese,dublin ,12,cow/sheep,united states,havarti,semi soft,compact,pale yellow,buttery,no
classic cheddar,veldhuzen cheese,dublin ,10,cow/sheep,england,cheddar,semi hard,compact,pale yellow,sharp,no
double barrel cheddar,veldhuzen cheese,dublin ,12.5,cow/sheep,england,cheddar,semi hard,compact,pale yellow,sharp,no
vintage cheddar,veldhuzen cheese,dublin ,14,cow/sheep,england,cheddar,semi hard,compact,pale yellow,sharp,no
dublin karst,veldhuzen cheese,dublin ,11.5,cow/sheep,united states,"cheddar, gruyere",semi soft,compact,pale yellow,sharp,no
fat tailed tomme,veldhuzen cheese,dublin ,18,cow/sheep,france,tomme,semi soft,firm,pale yellow,buttery,no
gouda,veldhuzen cheese,dublin ,10,cow/sheep,netherlands,gouda,semi hard,compact,yellow,nutty,no
jalapeno cheddar,veldhuzen cheese,dublin ,10.5,cow/sheep,england,cheddar,semi hard,compact,pale yellow,sharp,no
mixed milk gouda,veldhuzen cheese,dublin ,11,cow/sheep,netherlands,gouda,semi hard,compact,yellow,nutty,no
ol' redneck cheddar,veldhuzen cheese,dublin ,14,cow/sheep,england,cheddar,semi hard,compact,pale yellow,sharp,no
paragon,veldhuzen cheese,dublin ,10,cow/sheep,united states,paragon,semi hard,compact,pale yellow,tangy,
greens creek,veldhuzen cheese,dublin ,11,cow/sheep,switzerland,gruyere,hard,compact,pale yellow,sweet,no
redneck cheddar,veldhuzen cheese,dublin ,11,cow/sheep,england,cheddar,semi hard,compact,pale yellow,sharp,no
sharp shooter cheddar,veldhuzen cheese,dublin ,11.5,cow/sheep,england,cheddar,semi hard,compact,pale yellow,sharp,no
shepherds blend,veldhuzen cheese,dublin ,11,sheep,united states,manchego,semi soft,creamy,pale yellow,nutty,no
texas gold cheddar,veldhuzen cheese,dublin ,10.5,cow/sheep,england,cheddar,semi hard,compact,pale yellow,sharp,no
sheep cheddar,veldhuzen cheese,dublin ,15.5,cow/sheep,england,cheddar,semi hard,compact,pale yellow,sharp,no
sheep gouda,veldhuzen cheese,dublin ,18,cow/sheep,netherlands,gouda,semi hard,compact,yellow,nutty,no
wooly texas,veldhuzen cheese,dublin ,18,sheep,united states,gruyere,semi soft,compact,pale yellow,sweet,no
chevre,cadence creamery,manor ,7.99,goat,france,chevre,soft,creamy,white,tart,no
chevre with maple and chipotle,cadence creamery,manor ,7.99,goat,france,chevre,soft,creamy,white,tart,no
feta,cadence creamery,manor ,13.49,goat,greece,feta,soft brined,creamy,white,tangy,no
ash chevre,rebel cheese,austin ,2.5,cashew,united states,vegan,soft,creamy,white,tangy,yes
chebrie,rebel cheese,austin ,3,cashew,united states,vegan,soft,creamy,white,sharp,yes
honee pistachio chevre,rebel cheese,austin ,2.5,cashew,united states,vegan,soft,creamy,white,nutty,yes
blueberry vanilla chevre,rebel cheese,austin ,2.5,cashew,united states,vegan,soft,creamy,white,sweet,yes
dill havarti,rebel cheese,austin ,2.5,cashew,united states,vegan,semi soft,creamy,white,sweet,yes
garlic herb fromage,rebel cheese,austin ,2.25,cashew,united states,vegan,soft,creamy,white,herby,yes
cinnamon and cognac gjetost,rebel cheese,austin ,2.25,cashew,united states,vegan,semi soft,creamy,brown,sweet,yes
gruyere,rebel cheese,austin ,,almond,united states,vegan,semi soft,compact,white,nutty,yes
mozzarella,rebel cheese,austin ,2,cashew,united states,vegan,soft,creamy,white,tangy,yes
parmesan,rebel cheese,austin ,2.25,cashew,united states,vegan,hard,creamy,cream,umami,yes
pepperjack,rebel cheese,austin ,2.25,cashew,united states,vegan,firm,creamy,white,spicy,yes
spanish paprika chevre,rebel cheese,austin ,2.5,cashew,united states,vegan,soft,creamy,white,smokey,yes
sun-dried tomato herb fromage,rebel cheese,austin ,2.25,cashew,united states,vegan,soft,creamy,white,herby,yes
truffle brie,rebel cheese,austin ,3,cashew,united states,vegan,soft,creamy,pale yellow,umami,yes
lemon dill black,rebel cheese,austin ,2.25,cashew,united states,vegan,soft,creamy,white,tangy,yes
smoked cheddar,rebel cheese,austin ,2.75,cashew,united states,vegan,soft,creamy,yellow,smokey,yes
brie,rebel cheese,austin ,3,cashew,united states,vegan,soft,creamy,white,nutty,yes
truffle chevre,rebel cheese,austin ,2.5,cashew,united states,vegan,soft,creamy,white,umami,yes
reine trufflehound,rebel cheese,austin ,2.75,cashew,united states,vegan,soft,creamy,cream,umami,yes
reine fauxgonzola,rebel cheese,austin ,2.75,cashew,united states,vegan,soft,creamy,blue,tart,yes
reine heirloom tomato,rebel cheese,austin ,2.75,cashew,united states,vegan,soft,creamy,red,herby,yes
goat's revolt olive herb mozzarella,rebel cheese,austin ,2.25,soy,united states,vegan,soft,creamy,cream,herby,yes
fig and black pepper chevre,haute goat creamery,white oak ,7.95,goat,france,chevre,soft,creamy,white,tangy,no
candied jalapenio chevre,haute goat creamery,white oak ,7.95,goat,france,chevre,soft,creamy,white,spicy,no
